K,alpha,RMSE,MAE
3,0.6,0.9173606238132241,0.7116965436308271
4,0.6,0.9176869211558697,0.7122041574346807
6,0.6,0.9178527774825046,0.7124542281357075
5,0.6,0.9180175609857301,0.7125237207929779
3,0.7,0.9182229431161191,0.713316833968948
7,0.6,0.9184650106233642,0.7130695110380033
4,0.7,0.9187015707475513,0.7139222840447843
3,0.5,0.9189700043676107,0.7117227124894785
6,0.7,0.919012478641863,0.7142281438616305
8,0.6,0.9190470775120646,0.7136483652169925
5,0.7,0.9191549825004044,0.7143293146627766
4,0.5,0.9191712673938822,0.7121532066286704
6,0.5,0.9192252704181997,0.7123564506017263
5,0.5,0.9193977351674093,0.7123983376132991
9,0.6,0.9195135865101614,0.7143489729650934
7,0.5,0.9196727113407371,0.7128795750787972
11,0.6,0.9197288206097256,0.7145213966546926
7,0.7,0.9198126326355919,0.7149402398568793
10,0.6,0.9198748274109269,0.71477673696062
8,0.5,0.9201189905217955,0.7133895444157129
12,0.6,0.9204085004685448,0.7153158504626398
9,0.5,0.9204375214696745,0.713951874211012
11,0.5,0.9204763194498402,0.7140489513748803
8,0.7,0.9205440903787615,0.715588137945852
10,0.5,0.9206639108612197,0.7142978479370671
12,0.5,0.9209933871238721,0.7147103264747879
9,0.7,0.9211850792979188,0.7164354447899315
3,0.8,0.9215500237930259,0.7163356315882453
11,0.7,0.921632056923024,0.7167440252737737
10,0.7,0.9217097342723279,0.7169647592607366
4,0.8,0.9222069677154427,0.7170505416660377
12,0.7,0.9224916953995073,0.7176582287250851
6,0.8,0.9226948260810557,0.7174280449051765
5,0.8,0.9228006903781295,0.717553506723946
3,0.4,0.9230381561333658,0.7139130934317282
6,0.4,0.9231186629186157,0.7144001177871696
4,0.4,0.9231425549284502,0.7142509975924481
5,0.4,0.9232842148080073,0.7144224791984773
7,0.4,0.9234257089188916,0.7148256792318323
7,0.8,0.9237043933178778,0.7182357713389476
8,0.4,0.9237508865692114,0.7152538202994816
11,0.4,0.923868119360911,0.715765723368585
9,0.4,0.9239490980451711,0.7157057172249989
10,0.4,0.9240702626025495,0.71598391157544
12,0.4,0.9242412900614749,0.7162821909432497
8,0.8,0.9245975511876673,0.7189515492029855
9,0.8,0.9254379366344543,0.7199393249146415
10,0.8,0.926153035521951,0.7205895305924424
11,0.8,0.9261696871156743,0.7204113184859674
12,0.8,0.927224988966976,0.7214424437682829
3,0.9,0.9273153365426907,0.7203522426539061
4,0.9,0.9281748924029459,0.7211649216366514
6,0.9,0.9288698184698515,0.7216190003630432
5,0.9,0.9289251526357167,0.7217677063006741
6,0.3,0.9295012777248185,0.719076580763351
3,0.3,0.9295327968259216,0.7187473512530774
4,0.3,0.9295689103087479,0.718992097421186
5,0.3,0.9296455668297563,0.7190936124673172
7,0.3,0.9296931792059039,0.7193945717394713
11,0.3,0.9298752848478032,0.7200991251895811
8,0.3,0.9299127710915337,0.7197266861285688
9,0.3,0.9300190053566235,0.7200707279843258
10,0.3,0.9300651259436028,0.720270224160876
7,0.9,0.9301083576527884,0.722526893709494
12,0.3,0.9301243127241356,0.7204698195253577
8,0.9,0.9311740753889015,0.723313162027954
9,0.9,0.9322368306927966,0.7244406128732889
10,0.9,0.9331674720899562,0.7252174004898521
11,0.9,0.933303287474925,0.7250836528600724
12,0.9,0.9345681162900912,0.726233065645606
3,1.0,0.9354738020745957,0.7251082397925942
4,1.0,0.9365582709297611,0.726014609878642
5,1.0,0.9374797901641029,0.7267093464594632
6,1.0,0.9374882018787526,0.726537396402971
6,0.2,0.9383223199762776,0.7259289920266563
4,0.2,0.9383998964624697,0.7258956601043339
3,0.2,0.9384035469978865,0.7257356394881739
7,0.2,0.9384247432232871,0.7261373826281639
5,0.2,0.9384314632772617,0.7259474447236225
11,0.2,0.9384475930311049,0.7266035093262276
8,0.2,0.9385548150875589,0.7263606070006513
12,0.2,0.9385929062826126,0.726852152451964
9,0.2,0.9385976105698076,0.7265958351147611
10,0.2,0.9385989034580803,0.7267202381068769
7,1.0,0.9389731260150497,0.727544567524173
8,1.0,0.940220720561771,0.7284080141743823
9,1.0,0.9415266072368078,0.729683310388028
10,1.0,0.9426956515933813,0.7305841067450835
11,1.0,0.9429739442778009,0.7305011172324769
12,1.0,0.944460205379062,0.7317688832261124
6,0.1,0.9495138326793529,0.7344583641322713
11,0.1,0.9495155714661766,0.7347870249328544
7,0.1,0.9495524280351728,0.7345546419775245
4,0.1,0.9495684265624935,0.7344478194837489
5,0.1,0.9495746075696685,0.7344690972008708
12,0.1,0.9495778967862437,0.734915757624704
3,0.1,0.9495838181054205,0.7343653141212406
10,0.1,0.949603148402009,0.7348476218548285
8,0.1,0.9496093079220125,0.7346657717343928
9,0.1,0.9496169272432812,0.7347943062539203
4,0.0,0.9629931734666558,0.7472630138246044
3,0.0,0.9629931734666558,0.7472630138246044
6,0.0,0.9629931734666558,0.7472630138246044
5,0.0,0.9629931734666558,0.7472630138246044
8,0.0,0.9629931734666558,0.7472630138246044
7,0.0,0.9629931734666558,0.7472630138246044
9,0.0,0.9629931734666558,0.7472630138246044
10,0.0,0.9629931734666558,0.7472630138246044
11,0.0,0.9629931734666558,0.7472630138246044
12,0.0,0.9629931734666558,0.7472630138246044
